"rgn_id","effort","year"
"1",0,"2014"
"2",0,"2014"
"3",0,"2014"
"4",0,"2014"
"5",0,"2014"
"6",0,"2014"
"7",0,"2014"
"8",0,"2014"
"9",0,"2014"
"10",0,"2014"
"11",0,"2014"
"12",0,"2014"
"13",0,"2014"
"14",57788916912,"2014"
"15",0,"2014"
"16",31028981360,"2014"
"17",152039552,"2014"
"18",0,"2014"
"19",0,"2014"
"20",25021906664,"2014"
"21",3697337088,"2014"
"24",0,"2014"
"25",29356256,"2014"
"26",0,"2014"
"28",0,"2014"
"29",0,"2014"
"30",0,"2014"
"31",0,"2014"
"32",0,"2014"
"33",0,"2014"
"34",0,"2014"
"35",0,"2014"
"36",0,"2014"
"37",51616384,"2014"
"38",0,"2014"
"39",0,"2014"
"40",5986742.5,"2014"
"41",988332096,"2014"
"42",11566249412.5,"2014"
"43",0,"2014"
"44",13969135088,"2014"
"45",0,"2014"
"46",0,"2014"
"47",18989916,"2014"
"48",556401664,"2014"
"49",0,"2014"
"50",135481936,"2014"
"51",0,"2014"
"52",0,"2014"
"53",0,"2014"
"54",612468480,"2014"
"55",8573733,"2014"
"56",5789876.5,"2014"
"57",4288845.5,"2014"
"58",236541802.5,"2014"
"59",39500266824,"2014"
"60",75471344,"2014"
"61",46819581952,"2014"
"62",18915752762.125,"2014"
"63",28669827794.4297,"2014"
"64",24432308224,"2014"
"65",15022806016,"2014"
"66",3291681536,"2014"
"67",5333518336,"2014"
"68",9633081167.5,"2014"
"69",587468632.470459,"2014"
"70",86008812.9375,"2014"
"71",4191287080,"2014"
"72",420327210.425781,"2014"
"73",111864959930,"2014"
"74",371013869.222656,"2014"
"75",1230042520.5,"2014"
"76",55744532704,"2014"
"77",194678464,"2014"
"78",6691412,"2014"
"79",28536692794,"2014"
"80",181925983208,"2014"
"81",953298288.5,"2014"
"82",751709952,"2014"
"84",0,"2014"
"85",0,"2014"
"86",0,"2014"
"88",0,"2014"
"89",989674176,"2014"
"90",0,"2014"
"91",0,"2014"
"92",81063884,"2014"
"93",1632708.75,"2014"
"94",1018547392,"2014"
"95",147792555340.312,"2014"
"96",2611064064,"2014"
"97",0,"2014"
"98",0,"2014"
"99",0,"2014"
"100",0,"2014"
"101",3736790784,"2014"
"102",7439676416,"2014"
"103",0,"2014"
"104",1031313536,"2014"
"105",0,"2014"
"106",19239701618.5625,"2014"
"107",0,"2014"
"108",0,"2014"
"110",77817241.3125,"2014"
"111",4885527.5,"2014"
"112",0,"2014"
"113",0,"2014"
"114",0,"2014"
"115",0,"2014"
"116",0,"2014"
"117",0,"2014"
"118",0,"2014"
"119",0,"2014"
"120",0,"2014"
"121",0,"2014"
"122",0,"2014"
"123",0,"2014"
"124",0,"2014"
"125",0,"2014"
"126",0,"2014"
"127",0,"2014"
"129",15571917,"2014"
"130",0,"2014"
"131",0,"2014"
"132",0,"2014"
"133",0,"2014"
"134",0,"2014"
"135",148445564,"2014"
"136",0,"2014"
"137",0,"2014"
"138",42681248,"2014"
"139",0,"2014"
"140",0,"2014"
"141",31179288320.4375,"2014"
"143",80064186072,"2014"
"144",571987776,"2014"
"145",51695424924,"2014"
"146",0,"2014"
"147",0,"2014"
"148",0,"2014"
"149",0,"2014"
"150",0,"2014"
"151",0,"2014"
"152",0,"2014"
"153",0,"2014"
"154",0,"2014"
"155",0,"2014"
"156",0,"2014"
"157",0,"2014"
"158",0,"2014"
"159",0,"2014"
"161",0,"2014"
"162",74347864632,"2014"
"163",118514816800,"2014"
"164",0,"2014"
"166",0,"2014"
"167",0,"2014"
"168",1871937.75,"2014"
"169",46621265920,"2014"
"171",3194676383.25,"2014"
"172",296184155503.5,"2014"
"173",105538765929.75,"2014"
"174",209309984.75,"2014"
"175",160248493600,"2014"
"176",89598140544,"2014"
"177",281224629504,"2014"
"178",16435571826.25,"2014"
"179",434296972608,"2014"
"180",743603630304,"2014"
"181",169953696408,"2014"
"182",404134067552,"2014"
"183",76971995285.125,"2014"
"184",823925501056,"2014"
"185",284.506042480469,"2014"
"186",486409248,"2014"
"187",83383805020,"2014"
"188",431447787.125,"2014"
"189",1360127488,"2014"
"190",1317445504,"2014"
"191",7551005809.5,"2014"
"192",0,"2014"
"193",9415936000,"2014"
"194",2520336467.5625,"2014"
"195",3428275200,"2014"
"196",0,"2014"
"197",0,"2014"
"198",258336064,"2014"
"199",73959144,"2014"
"200",5140068352,"2014"
"202",0,"2014"
"203",814132544,"2014"
"204",0,"2014"
"205",0,"2014"
"206",671290.125,"2014"
"207",179122139.21875,"2014"
"208",604628294,"2014"
"209",4935690036224,"2014"
"210",5816289142.6875,"2014"
"212",0,"2014"
"214",1054534.375,"2014"
"215",0,"2014"
"216",22651629597,"2014"
"218",52807259536,"2014"
"219",3343227.75,"2014"
"220",0,"2014"
"221",0,"2014"
"222",56432080288,"2014"
"223",165326787136,"2014"
"224",4101033795.5,"2014"
"227",2262386982.96094,"2014"
"228",29361096704,"2014"
"231",0,"2014"
"232",0,"2014"
"237",0,"2014"
"244",0,"2014"
"245",0,"2014"
"247",0,"2014"
"248",0,"2014"
"249",0,"2014"
"250",332950450,"2014"
"255",27274543610.75,"2014"
"260",0,"2014"
"261",135618208,"2014"
"262",31267586,"2014"
"263",0,"2014"
"264",0,"2014"
"266",99735040,"2014"
"267",0,"2014"
"269",0,"2014"
"270",0,"2014"
"272",12757096,"2014"
"273",0,"2014"
"274",0,"2014"
"275",0,"2014"
"276",0,"2014"
"277",17428266,"2014"
"301",0,"2014"
"302",0,"2014"
"303",0,"2014"
"304",0,"2014"
"305",0,"2014"
"306",0,"2014"
"307",0,"2014"
"308",0,"2014"
"309",0,"2014"
"310",0,"2014"
"311",0,"2014"
"312",0,"2014"
"313",0,"2014"
"314",0,"2014"
"315",0,"2014"
"316",0,"2014"
"317",0,"2014"
"318",0,"2014"
"319",0,"2014"
"320",0,"2014"
"321",0,"2014"
"322",0,"2014"
"323",0,"2014"
"324",0,"2014"
"325",0,"2014"
"326",0,"2014"
"327",0,"2014"
"328",0,"2014"
"329",0,"2014"
"330",0,"2014"
"331",0,"2014"
"332",0,"2014"
"333",0,"2014"
"334",0,"2014"
"335",0,"2014"
"336",0,"2014"
"337",0,"2014"
"248100",10218061456,"2014"
"248200",225381414.203125,"2014"
"248300",0,"2014"
"248400",0,"2014"
"248500",0,"2014"
"248600",0,"2014"
"258410",0,"2014"
"258420",0,"2014"
"258431",0,"2014"
"258432",0,"2014"
"258441",0,"2014"
"258442",0,"2014"
"258510",0,"2014"
"258520",0,"2014"
"258600",0,"2014"
"258700",0,"2014"
"288100",0,"2014"
"288200",0,"2014"
"288300",0,"2014"
