rgn_id,year,gapfilled,method
15,2019,NA,NA
15,2020,gapfilled,WTTC Percent Change
15,2021,NA,NA
16,2019,NA,NA
16,2020,gapfilled,WTTC Percent Change
16,2021,NA,NA
20,2019,NA,NA
20,2020,gapfilled,WTTC Percent Change
20,2021,NA,NA
24,2019,NA,NA
24,2020,gapfilled,WTTC Percent Change
24,2021,NA,NA
25,2019,NA,NA
25,2020,gapfilled,WTTC Percent Change
25,2021,NA,NA
37,2019,NA,NA
37,2020,gapfilled,WTTC Percent Change
37,2021,NA,NA
40,2019,NA,NA
40,2020,gapfilled,WTTC Percent Change
40,2021,NA,NA
43,2019,NA,NA
43,2020,gapfilled,WTTC Percent Change
43,2021,NA,NA
47,2019,NA,NA
47,2020,gapfilled,WTTC Percent Change
47,2021,NA,NA
50,2019,NA,NA
50,2020,gapfilled,WTTC Percent Change
50,2021,NA,NA
51,2019,NA,NA
51,2020,gapfilled,WTTC Percent Change
51,2021,NA,NA
52,2019,NA,NA
52,2020,gapfilled,WTTC Percent Change
52,2021,NA,NA
53,2019,NA,NA
53,2020,gapfilled,WTTC Percent Change
53,2021,NA,NA
54,2019,NA,NA
54,2020,gapfilled,WTTC Percent Change
54,2021,NA,NA
56,2019,NA,NA
56,2020,gapfilled,WTTC Percent Change
56,2021,NA,NA
59,2019,NA,NA
59,2020,gapfilled,WTTC Percent Change
59,2021,NA,NA
61,2019,NA,NA
61,2020,gapfilled,WTTC Percent Change
61,2021,NA,NA
62,2019,NA,NA
62,2020,gapfilled,WTTC Percent Change
62,2021,NA,NA
66,2019,NA,NA
66,2020,gapfilled,WTTC Percent Change
66,2021,NA,NA
68,2019,NA,NA
68,2020,gapfilled,WTTC Percent Change
68,2021,NA,NA
69,2019,NA,NA
69,2020,gapfilled,WTTC Percent Change
69,2021,NA,NA
70,2019,NA,NA
70,2020,gapfilled,WTTC Percent Change
70,2021,NA,NA
71,2019,NA,NA
71,2020,gapfilled,WTTC Percent Change
71,2021,NA,NA
72,2019,NA,NA
72,2020,gapfilled,WTTC Percent Change
72,2021,NA,NA
74,2019,NA,NA
74,2020,gapfilled,WTTC Percent Change
74,2021,NA,NA
76,2019,NA,NA
76,2020,gapfilled,WTTC Percent Change
76,2021,NA,NA
78,2019,NA,NA
78,2020,gapfilled,WTTC Percent Change
78,2021,NA,NA
79,2019,NA,NA
79,2020,gapfilled,WTTC Percent Change
79,2021,NA,NA
80,2019,NA,NA
80,2020,gapfilled,WTTC Percent Change
80,2021,NA,NA
81,2019,NA,NA
81,2020,gapfilled,WTTC Percent Change
81,2021,NA,NA
82,2019,NA,NA
82,2020,gapfilled,WTTC Percent Change
82,2021,NA,NA
96,2019,NA,NA
96,2020,gapfilled,WTTC Percent Change
96,2021,NA,NA
99,2019,NA,NA
99,2020,gapfilled,WTTC Percent Change
99,2021,NA,NA
101,2019,NA,NA
101,2020,gapfilled,WTTC Percent Change
101,2021,NA,NA
102,2019,NA,NA
102,2020,gapfilled,WTTC Percent Change
102,2021,NA,NA
106,2019,NA,NA
106,2020,gapfilled,WTTC Percent Change
106,2021,NA,NA
115,2019,NA,NA
115,2020,gapfilled,WTTC Percent Change
115,2021,NA,NA
126,2019,NA,NA
126,2020,gapfilled,WTTC Percent Change
126,2021,NA,NA
129,2019,NA,NA
129,2020,gapfilled,WTTC Percent Change
129,2021,NA,NA
130,2019,NA,NA
130,2020,gapfilled,WTTC Percent Change
130,2021,NA,NA
131,2019,NA,NA
131,2020,gapfilled,WTTC Percent Change
131,2021,NA,NA
132,2019,NA,NA
132,2020,gapfilled,WTTC Percent Change
132,2021,NA,NA
133,2019,NA,NA
133,2020,gapfilled,WTTC Percent Change
133,2021,NA,NA
134,2019,NA,NA
134,2020,gapfilled,WTTC Percent Change
134,2021,NA,NA
135,2019,NA,NA
135,2020,gapfilled,WTTC Percent Change
135,2021,NA,NA
136,2019,NA,NA
