"rgn_id","taxa_code","sust_coeff"
84,"European eel_507","global_species"
214,"European seabass_1313","none"
84,"Mullets nei_512","taxon_group_avg"
115,"Gudgeons, sleepers nei_557","taxon_group_avg"
115,"Mullets nei_559","taxon_group_avg"
135,"Whiteleg shrimp_616","none"
15,"Barramundi(=Giant seaperch)_95","global_species"
191,"Rainbow trout_1071","global_species"
106,"Giant tiger prawn_540","global_species"
196,"Mullets nei_1073","taxon_group_avg"
66,"Oysters_387","global_species"
65,"Oysters_385","global_species"
196,"Penaeus shrimps nei_1074","georegion_family_avg"
182,"Whiteleg shrimp_963","global_species"
182,"European seabass_894","none"
182,"Gilthead seabream_900","none"
66,"Mussels_386","global_species"
62,"Oysters_381","global_species"
66,"Oysters_388","global_species"
66,"Oysters_389","global_species"
62,"Scallops_384","global_species"
182,"Seaweed_950","global_species"
196,"Snappers nei_1075","taxon_group_avg"
143,"Arctic char_651","none"
183,"Atlantic ditch shrimp_965","taxon_group_avg"
182,"Atlantic ditch shrimp_869","taxon_group_avg"
183,"Atlantic salmon_966","global_species"
143,"Atlantic salmon_655","global_species"
182,"Caramote prawn_874","region_family_avg"
182,"Cockles_877","global_species"
182,"Cockles_928","global_species"
182,"Common prawn_879","taxon_group_avg"
183,"Common sole_973","global_species"
183,"Common sole_1004","global_species"
182,"Corrugated venus_883","georegion_family_avg"
183,"European eel_977","global_species"
175,"European eel_765","global_species"
182,"European eel_888","global_species"
183,"European seabass_980","none"
176,"European seabass_775","global_species"
182,"European seabass_893","none"
175,"European whitefish_767","region_family_avg"
182,"Giant tiger prawn_897","global_species"
183,"Gilthead seabream_983","none"
182,"Gilthead seabream_901","none"
182,"Grooved carpet shell_908","georegion_family_avg"
182,"Japanese carpet shell_913","georegion_family_avg"
179,"Kuruma prawn_809","family_avg"
183,"Kuruma prawn_988","georegion_family_avg"
182,"Kuruma prawn_916","region_family_avg"
180,"Marine fishes nei_838","taxon_group_avg"
182,"Meagre_923","none"
183,"Mullets nei_992","taxon_group_avg"
182,"Mullets nei_926","taxon_group_avg"
183,"Oysters_993","global_species"
182,"Oysters_931","global_species"
182,"Palaemonid shrimps nei_933","taxon_group_avg"
176,"Rainbow trout_777","global_species"
180,"Rainbow trout_844","global_species"
175,"Rainbow trout_769","global_species"
175,"Sea trout_771","family_avg"
183,"Seabasses nei_998","taxon_group_avg"
183,"Seaweed_995","global_species"
182,"Seaweed_942","global_species"
182,"Senegalese sole_945","region_family_avg"
143,"Senegalese sole_661","family_avg"
183,"Senegalese sole_999","region_family_avg"
182,"Soles nei_947","taxon_group_avg"
182,"Spotted seabass_952","taxon_group_avg"
182,"Turbot_955","global_species"
177,"Turbot_783","global_species"
183,"Turbot_1002","global_species"
227,"Turbot_1456","global_species"
228,"Turbot_1463","global_species"
182,"White seabream_961","region_family_avg"
177,"Yellowtail amberjack_784","global_species"
175,"Yellowtail amberjack_773","global_species"
143,"Abalones_650","global_species"
227,"Abalones_1455","global_species"
228,"Abalones_1462","global_species"
181,"Abalones_848","global_species"
179,"Abalones_823","global_species"
182,"Abalones_911","global_species"
181,"Aquatic invertebrates nei_849","global_avg"
182,"Aquatic invertebrates nei_864","global_avg"
183,"Atlantic bluefin tuna_964","georegion_family_avg"
182,"Atlantic bluefin tuna_867","water_body"
223,"Atlantic cod_1418","global_species"
143,"Atlantic cod_652","global_species"
180,"Atlantic cod_827","global_species"
143,"Atlantic halibut_653","global_species"
180,"Atlantic halibut_828","global_species"
223,"Atlantic halibut_1419","global_species"
223,"Atlantic salmon_1420","none"
180,"Atlantic salmon_829","none"
181,"Atlantic salmon_850","global_species"
143,"Atlantic salmon_654","global_species"
141,"Atlantic salmon_645","none"
222,"Atlantic salmon_1414","global_species"
174,"Atlantic salmon_755","global_species"
182,"Atlantic salmon_870","global_species"
179,"Atlantic salmon_785","global_species"
73,"Atlantic salmon_400","global_species"
175,"Atlantic salmon_760","global_species"
182,"Banded carpet shell_871","georegion_family_avg"
182,"Big-scale sand smelt_872","taxon_group_avg"
182,"Blackspot seabream_873","region_family_avg"
183,"Blackspot seabream_967","region_family_avg"
223,"Chars nei_1423","taxon_group_avg"
175,"Clams_763","global_species"
182,"Clams_886","global_species"
183,"Clams_1000","global_species"
179,"Clams_789","global_species"
180,"Clams_840","global_species"
183,"Cockles_971","global_species"
179,"Cockles_792","global_species"
180,"Cockles_831","global_species"
182,"Cockles_876","global_species"
182,"Cockles_929","global_species"
179,"Coho(=Silver) salmon_791","global_species"
175,"Coho(=Silver) salmon_764","global_species"
183,"Common cuttlefish_970","global_avg"
183,"Common sole_972","global_species"
182,"Common sole_881","global_species"
183,"Corrugated venus_974","georegion_family_avg"
182,"Corrugated venus_882","georegion_family_avg"
183,"Croakers, drums nei_975","region_family_avg"
182,"European eel_887","global_species"
175,"European flounder_766","georegion_family_avg"
183,"European seabass_979","none"
143,"European seabass_657","global_species"
180,"European seabass_834","global_species"
179,"European seabass_799","none"
174,"European whitefish_756","region_family_avg"
223,"Finfishes nei_1425","taxon_group_avg"
179,"Finfishes nei_800","taxon_group_avg"
183,"Gilthead seabream_982","none"
182,"Gilthead seabream_899","none"
179,"Gilthead seabream_802","none"
183,"Golden carpet shell_984","georegion_family_avg"
179,"Grooved carpet shell_804","region_family_avg"
183,"Grooved carpet shell_986","georegion_family_avg"
182,"Grooved carpet shell_907","georegion_family_avg"
180,"Grooved carpet shell_836","region_family_avg"
227,"Grooved carpet shell_1453","georegion_family_avg"
228,"Grooved carpet shell_1460","georegion_family_avg"
182,"Groundfishes nei_910","taxon_group_avg"
143,"Haddock_658","taxon_group_avg"
180,"Japanese carpet shell_837","region_family_avg"
181,"Japanese carpet shell_857","georegion_family_avg"
182,"Japanese carpet shell_912","georegion_family_avg"
179,"Japanese carpet shell_807","region_family_avg"
183,"Japanese carpet shell_987","georegion_family_avg"
182,"Mackerels nei_917","region_family_avg"
223,"Marine crustaceans nei_1427","global_avg"
183,"Marine fishes nei_989","taxon_group_avg"
182,"Marine fishes nei_918","taxon_group_avg"
179,"Marine molluscs nei_812","taxon_group_avg"
182,"Marine molluscs nei_919","taxon_group_avg"
183,"Marine molluscs nei_990","taxon_group_avg"
183,"Meagre_991","global_species"
182,"Meagre_924","none"
182,"Mullets nei_925","taxon_group_avg"
176,"Mussels_774","global_species"
177,"Mussels_779","global_species"
179,"Mussels_786","global_species"
181,"Mussels_852","global_species"
182,"Mussels_939","global_species"
222,"Mussels_1415","global_species"
180,"Mussels_830","global_species"
223,"Mussels_1422","global_species"
183,"Mussels_997","global_species"
73,"Mussels_414","global_species"
227,"Mussels_1450","global_species"
228,"Mussels_1457","global_species"
143,"Mussels_656","global_species"
175,"Mussels_761","global_species"
180,"Mussels_839","global_species"
179,"Mussels_815","global_species"
180,"Mussels_845","global_species"
182,"Octopuses nei_927","global_avg"
179,"Oysters_816","global_species"
181,"Oysters_855","global_species"
180,"Oysters_841","global_species"
182,"Oysters_930","global_species"
181,"Oysters_858","global_species"
222,"Oysters_1416","global_species"
176,"Oysters_776","global_species"
223,"Oysters_1428","global_species"
227,"Oysters_1454","global_species"
228,"Oysters_1461","global_species"
177,"Oysters_780","global_species"
177,"Oysters_781","global_species"
183,"Oysters_981","global_species"
183,"Peppery furrow_994","taxon_group_avg"
179,"Periwinkles nei_818","taxon_group_avg"
182,"Pollack_935","family_avg"
223,"Rainbow trout_1429","global_species"
