"rgn_id","year","species","sust_coeff"
5,2021,"Blue shrimp",0.68
5,2021,"Pacific cupped oyster",0.67
5,2021,"Snappers nei",0.58
6,2021,"Blue shrimp",0.68
6,2021,"Whiteleg shrimp",0.68
7,2021,"Elkhorn sea moss",0.79
7,2021,"Giant tiger prawn",0.68
8,2021,"Bear paw clam",0.7
8,2021,"Crocus giant clam",0.7
8,2021,"Elongate giant clam",0.7
8,2021,"Fluted giant clam",0.7
8,2021,"Giant clam",0.7
8,2021,"Milkfish",0.58
8,2021,"Penaeus shrimps nei",0.59
8,2021,"Smooth giant clam",0.7
9,2021,"Eucheuma seaweeds nei",0.79
10,2021,"Milkfish",0.58
11,2021,"Sixfinger threadfin",0.58
13,2021,"Banana prawn",0.68
13,2021,"Milkfish",0.58
13,2021,"Mullets nei",0.58
13,2021,"Whiteleg shrimp",0.68
14,2021,"Abalones nei",0.68
14,2021,"Amberjacks nei",0.68
14,2021,"Barramundi(=Giant seaperch)",0.68
14,2021,"Blackhead seabream",0.53
14,2021,"Blood cockle",0.7
14,2021,"Blue swimming crab",0.61
14,2021,"Clams, etc. nei",0.7
14,2021,"Cobia",0.68
14,2021,"Croakers, drums nei",0.46
14,2021,"Flathead grey mullet",0.58
14,2021,"Fourfinger threadfin",0.58
14,2021,"Giant tiger prawn",0.68
14,2021,"Greasyback shrimp",0.68
14,2021,"Greater amberjack",0.68
14,2021,"Groupers nei",0.58
14,2021,"Indo-Pacific swamp crab",0.61
14,2021,"Japanese carpet shell",0.7
14,2021,"Japanese eel",0.07
14,2021,"Japanese hard clam",0.7
14,2021,"Japanese spiny lobster",0.61
14,2021,"Kuruma prawn",0.68
14,2021,"Laver (Nori)",0.79
14,2021,"Marine crabs nei",0.61
14,2021,"Marine fishes nei",0.58
14,2021,"Marine molluscs nei",0.68
14,2021,"Mi-iuy (brown) croaker",0.46
14,2021,"Milkfish",0.58
14,2021,"Natantian decapods nei",0.61
14,2021,"Pacific cupped oyster",0.67
14,2021,"Porgies, seabreams nei",0.53
14,2021,"Redtail prawn",0.68
14,2021,"Seabasses nei",0.58
14,2021,"Seaweeds nei",0.79
14,2021,"Snappers, jobfishes nei",0.58
14,2021,"Trumpet emperor",0.58
14,2021,"Warty gracilaria",0.79
14,2021,"Whiteleg shrimp",0.68
15,2021,"Banana prawn",0.68
15,2021,"Barramundi(=Giant seaperch)",0.68
15,2021,"Caulerpa seaweeds",0.79
15,2021,"Cupped oysters nei",0.67
15,2021,"Elkhorn sea moss",0.79
15,2021,"Flathead lobster",0.61
15,2021,"Giant tiger prawn",0.68
15,2021,"Gracilaria seaweeds",0.79
15,2021,"Green mussel",0.67
15,2021,"Groupers, seabasses nei",0.58
15,2021,"Indo-Pacific swamp crab",0.61
15,2021,"Jacks, crevalles nei",0.68
15,2021,"Marine fishes nei",0.58
15,2021,"Metapenaeus shrimps nei",0.68
15,2021,"Metapenaeus shrimps nei",0.58
15,2021,"Milkfish",0.58
15,2021,"Scats",0.58
15,2021,"Snappers nei",0.58
15,2021,"Snubnose pompano",0.68
15,2021,"Spiny eucheuma",0.79
15,2021,"Tropical spiny lobsters nei",0.61
15,2021,"Whiteleg shrimp",0.68
16,2021,"Abalones nei",0.68
16,2021,"Atlantic salmon",0.68
16,2021,"Australian mussel",0.68
16,2021,"Barramundi(=Giant seaperch)",0.68
16,2021,"Brine shrimp",0.59
