iso3c,production,reported_by_fao,year,country_application,nutrient,nearest,method,gapfilled
CHN,2267414909.013471,Yes,2010,7074888.4762,K2O,CHN,none,0
USA,1685696968.1634908,Yes,2010,3864171.00636,K2O,USA,none,0
IND,1298334009.3600392,Yes,2010,3463818,K2O,IND,none,0
RUS,393538249.3994526,Yes,2010,275280.12,K2O,RUS,none,0
DEU,370973013.91670436,Yes,2010,372151.494,K2O,DEU,none,0
IDN,342701278.9558128,Yes,2010,1000000,K2O,IDN,none,0
FRA,331406239.8252842,Yes,2010,372299.07,K2O,FRA,none,0
PAK,305394562.04671705,Yes,2010,37545,K2O,PAK,none,0
AUS,294279917.9619316,Yes,2010,111965.93818,K2O,AUS,none,0
EGY,276096501.37281895,Yes,2010,51000,K2O,EGY,none,0
BRA,265053819.25387812,Yes,2010,4009606.54248,K2O,BRA,none,0
THA,250650979.07415372,Yes,2010,468409.24,K2O,THA,none,0
MEX,244714768.83693212,Yes,2010,219717,K2O,MEX,none,0
CAN,213816256.9340958,Yes,2010,300000,K2O,CAN,none,0
ARG,200824807.52287441,Yes,2010,33214,K2O,ARG,none,0
VNM,175531253.24923196,Yes,2010,414101.09,K2O,VNM,none,0
UKR,169486497.68667194,Yes,2010,126037.8,K2O,UKR,none,0
IRN,129910329.12320079,Yes,2010,39771.743,K2O,IRN,none,0
ITA,127819881.1273082,Yes,2010,159174.44400000002,K2O,ITA,none,0
ESP,124586547.10772365,Yes,2010,308279.4,K2O,ESP,none,0
PHL,122448932.7718554,Yes,2010,116936,K2O,PHL,none,0
BGD,117668736.34127656,Yes,2010,196306,K2O,BGD,none,0
MYS,113914676.43505079,Yes,2010,960381.39,K2O,MYS,none,0
GBR,109019734.02652495,Yes,2010,215358,K2O,GBR,none,0
POL,107416258.81941463,Yes,2010,390304.2,K2O,POL,none,0
JPN,100319549.95629139,Yes,2010,226170.116,K2O,JPN,none,0
COL,79846359.37517765,Yes,2010,239271.6,K2O,COL,none,0
TUR,76049183.09535167,Yes,2010,70281,K2O,TUR,none,0
NLD,70788056.33485001,Yes,2010,43987.944,K2O,NLD,none,0
ROU,67355533.9592786,Yes,2010,44187,K2O,ROU,none,0
UZB,66272017.93972518,Yes,2010,37915.1125,K2O,UZB,none,0
GTM,56733102.49160689,Yes,2010,18518,K2O,GTM,none,0
ZAF,56112834.05497494,Yes,2010,102934,K2O,ZAF,none,0
PER,51883022.74158923,Yes,2010,56262,K2O,PER,none,0
MMR,47367605.74191096,Yes,2010,9979,K2O,MMR,none,0
BLR,47182114.28745654,Yes,2010,678395,K2O,BLR,none,0
DNK,44849307.75908263,Yes,2010,53376.18,K2O,DNK,none,0
MAR,44230673.90954738,Yes,2010,21101,K2O,MAR,none,0
PRY,40807672.72664807,Yes,2010,117863,K2O,PRY,none,0
BEL,37881620.430979386,Yes,2010,61733.958,K2O,BEL,none,0
SWE,37143224.497521594,Yes,2010,21697.104,K2O,SWE,none,0
ECU,36358870.95008872,Yes,2010,101674,K2O,ECU,none,0
CHL,35358705.215926774,Yes,2010,80155,K2O,CHL,none,0
HUN,33193416.77833699,Yes,2010,48674.340000000004,K2O,HUN,none,0
KOR,33154489.12534804,Yes,2010,143974,K2O,KOR,none,0
DZA,32143603.141003493,Yes,2010,25600,K2O,DZA,none,0
GRC,31918293.246788524,Yes,2010,39338.442,K2O,GRC,none,0
KAZ,29929723.955679696,Yes,2010,3201,K2O,KAZ,none,0
CZE,29788124.38627481,Yes,2010,21777.756,K2O,CZE,none,0
PRT,28506095.278970405,Yes,2010,25103.364,K2O,PRT,none,0
NPL,26876323.37709631,Yes,2010,1411,K2O,NPL,none,0
CUB,26294904.08919849,Yes,2010,44093.29,K2O,CUB,none,0
GHA,24756986.966226343,Yes,2010,36761,K2O,GHA,none,0
SRB,22487966.389169283,Yes,2010,49735.4281233217,K2O,SRB,none,0
NGA,22359247.217234705,Yes,2010,68057,K2O,NGA,none,0
LVA,20371689.546484135,Yes,2010,13975.104,K2O,LVA,none,0
TZA,19013640.007680494,Yes,2010,8196,K2O,TZA,none,0
AUT,18718651.40663913,Yes,2010,20039.448,K2O,AUT,none,0
NIC,17610256.38688291,Yes,2010,9911,K2O,NIC,none,0
PRK,17014139.914172295,No,2010,9911,K2O,9911,none,0
VEN,15907817.17073627,Yes,2010,102500,K2O,VEN,none,0
TWN,15451483.585332446,Yes,2010,117294.6,K2O,TWN,none,0
AZE,14907447.192262892,Yes,2010,3812,K2O,AZE,none,0
CHE,14525092.945975028,Yes,2010,21496,K2O,CHE,none,0
FIN,14055662.784255108,Yes,2010,37038.144,K2O,FIN,none,0
NZL,13942387.220853884,Yes,2010,15226.143999999986,K2O,NZL,none,0
KGZ,13692151.529250788,Yes,2010,0,K2O,KGZ,none,0
CMR,13637400.23891997,Yes,2010,21100,K2O,CMR,none,0
KHM,13595715.82186319,Yes,2010,1017.46,K2O,KHM,none,0
CIV,12955457.408819854,Yes,2010,43788,K2O,CIV,none,0
HND,12780212.949240863,Yes,2010,15828.93,K2O,HND,none,0
SAU,12683449.049103377,Yes,2010,10000,K2O,SAU,none,0
MLI,12463161.338653237,Yes,2010,19367.38,K2O,MLI,none,0
LTU,12354101.599334715,Yes,2010,36894,K2O,LTU,none,0
TUN,12035264.377723213,Yes,2010,4900,K2O,TUN,none,0
MDG,11867310.836907458,Yes,2010,2314.25,K2O,MDG,none,0
LAO,11740312.049463883,No,2010,2314.25,K2O,2314.25,none,0
AGO,11316164.06115643,Yes,2010,8565,K2O,AGO,none,0
SVK,11271125.355770351,Yes,2010,8840.832,K2O,SVK,none,0
LKA,11254375.594190333,Yes,2010,58082,K2O,LKA,none,0
AFG,11103174.046912694,Yes,2010,0,K2O,AFG,none,0
KEN,10772148.531103551,Yes,2010,21101.92,K2O,KEN,none,0
NOR,10740117.096851815,Yes,2010,36925,K2O,NOR,none,0
TKM,10726360.416745638,No,2010,36925,K2O,36925,none,0
SYR,10559246.660225878,Yes,2010,525,K2O,SYR,none,0
ISR,10317064.779519146,Yes,2010,24200,K2O,ISR,none,0
DOM,10152260.896133812,Yes,2010,5544,K2O,DOM,none,0
TJK,9741323.549771942,Yes,2010,120.02,K2O,TJK,none,0
YEM,9554599.044593014,Yes,2010,1200,K2O,YEM,none,0
SWZ,9477485.681020593,No,2010,1200,K2O,1200,none,0
IRL,9129797.634830145,Yes,2010,75443.94,K2O,IRL,none,0
MWI,8903642.548293917,Yes,2010,16680,K2O,MWI,none,0
SLV,8782144.894177927,Yes,2010,21572,K2O,SLV,none,0
BOL,8670978.747869343,Yes,2010,2382,K2O,BOL,none,0
MDA,8538527.205399537,Yes,2010,1317,K2O,MDA,none,0
BGR,7926581.878972925,Yes,2010,9382.23,K2O,BGR,none,0
URY,7816526.595472928,Yes,2010,31982,K2O,URY,none,0
EST,7745325.367166781,Yes,2010,8036.028,K2O,EST,none,0
IRQ,7661246.997111124,Yes,2010,4800,K2O,IRQ,none,0
HRV,7451541.9081978705,Yes,2010,42242.772,K2O,HRV,none,0
ZMB,7340673.0285031125,Yes,2010,13148,K2O,ZMB,none,0
ZWE,7083056.152574739,Yes,2010,18038,K2O,ZWE,none,0
CRI,6996794.074496098,Yes,2010,38489.66,K2O,CRI,none,0
COD,6643288.819602948,Yes,2010,2014,K2O,COD,none,0
BEN,6277503.905782782,Yes,2010,19,K2O,BEN,none,0
UGA,6191792.702472046,Yes,2010,2429,K2O,UGA,none,0
ALB,6057152.999387405,Yes,2010,299.1,K2O,ALB,none,0
MOZ,5544543.034773104,Yes,2010,355,K2O,MOZ,none,0
NER,5324185.605239309,Yes,2010,692,K2O,NER,none,0
PNG,5249871.930766702,Yes,2010,14059,K2O,PNG,none,0
ARM,5225264.465244473,Yes,2010,4,K2O,ARM,none,0
GUY,4954922.981898397,Yes,2010,348,K2O,GUY,none,0
SEN,4899747.942125075,Yes,2010,1277,K2O,SEN,none,0
HTI,4721179.39972458,No,2010,1277,K2O,1277,none,0
BIH,4210665.446934637,Yes,2010,10308,K2O,BIH,none,0
BFA,3923855.232149631,Yes,2010,7723,K2O,BFA,none,0
JOR,3895682.771797947,Yes,2010,7000,K2O,JOR,none,0
LBN,3502117.49785091,Yes,2010,7906.39,K2O,LBN,none,0
MUS,3487113.817627549,Yes,2010,5615,K2O,MUS,none,0
ARE,3460651.270073656,Yes,2010,7500,K2O,ARE,none,0
LBY,3425715.4297097246,Yes,2010,1472.9,K2O,LBY,none,0
PAN,3267217.61708053,Yes,2010,8723,K2O,PAN,none,0
BDI,2748742.92866233,Yes,2010,171,K2O,BDI,none,0
SVN,2525702.7958724904,Yes,2010,10362.066,K2O,SVN,none,0
OMN,2233642.493901007,Yes,2010,7025.44,K2O,OMN,none,0
GIN,2037378.3660401627,Yes,2010,78,K2O,GIN,none,0
JAM,1927771.3420681953,Yes,2010,389,K2O,JAM,none,0
GEO,1714112.967168633,Yes,2010,642.03,K2O,GEO,none,0
MKD,1678187.252377656,Yes,2010,3831,K2O,MKD,none,0
TCD,1631199.0443771405,No,2010,3831,K2O,3831,none,0
XKO,1505488.8990551075,No,2010,1049,K2O,1049,none,0
LUX,1461422.4844591722,Yes,2010,900.042,K2O,LUX,none,0
MNE,1338660.950568848,Yes,2010,522,K2O,MNE,none,0
TGO,1158866.0873362347,Yes,2010,9782.28,K2O,TGO,none,0
