iso3c,year,nutrient,country_application
ABW,2010,K2O,0
ABW,2010,N,0
ABW,2010,P2O5,0
ABW,2011,K2O,0
ABW,2011,N,0
ABW,2011,P2O5,0
ABW,2012,K2O,0
ABW,2012,N,0
ABW,2012,P2O5,0
ABW,2013,K2O,0
ABW,2013,N,0
ABW,2013,P2O5,0
ABW,2014,K2O,0
ABW,2014,N,0
ABW,2014,P2O5,0
ABW,2015,K2O,0
ABW,2015,N,0
ABW,2015,P2O5,0
ABW,2016,K2O,0
ABW,2016,N,0
ABW,2016,P2O5,0
ABW,2017,K2O,0
ABW,2017,N,0
ABW,2017,P2O5,0
ABW,2018,K2O,0
ABW,2018,N,0
ABW,2018,P2O5,0
ABW,2019,K2O,0
ABW,2019,N,0
ABW,2019,P2O5,0
AIA,2010,K2O,0
AIA,2010,N,0
AIA,2010,P2O5,0
AIA,2011,K2O,0
AIA,2011,N,0
AIA,2011,P2O5,0
AIA,2012,K2O,0
AIA,2012,N,0
AIA,2012,P2O5,0
AIA,2013,K2O,0
AIA,2013,N,0
AIA,2013,P2O5,0
AIA,2014,K2O,0
AIA,2014,N,0
AIA,2014,P2O5,0
AIA,2015,K2O,0
AIA,2015,N,0
AIA,2015,P2O5,0
AIA,2016,K2O,0
AIA,2016,N,0
AIA,2016,P2O5,0
AIA,2017,K2O,0
AIA,2017,N,0
AIA,2017,P2O5,0
AIA,2018,K2O,0
AIA,2018,N,0
AIA,2018,P2O5,0
AIA,2019,K2O,0
AIA,2019,N,0
AIA,2019,P2O5,0
ALA,2010,K2O,42.42573331211471
ALA,2010,N,102.39667319244471
ALA,2010,P2O5,19.786533363530392
ALA,2011,K2O,42.42573331211471
ALA,2011,N,102.39667319244471
ALA,2011,P2O5,19.786533363530392
ALA,2012,K2O,42.42573331211471
ALA,2012,N,102.39667319244471
ALA,2012,P2O5,19.786533363530392
ALA,2013,K2O,42.42573331211471
ALA,2013,N,102.39667319244471
ALA,2013,P2O5,19.786533363530392
ALA,2014,K2O,42.42573331211471
ALA,2014,N,102.39667319244471
ALA,2014,P2O5,19.786533363530392
ALA,2015,K2O,42.42573331211471
ALA,2015,N,102.39667319244471
ALA,2015,P2O5,19.786533363530392
ALA,2016,K2O,42.42573331211471
ALA,2016,N,102.39667319244471
ALA,2016,P2O5,19.786533363530392
ALA,2017,K2O,42.42573331211471
ALA,2017,N,102.39667319244471
ALA,2017,P2O5,19.786533363530392
ALA,2018,K2O,42.42573331211471
ALA,2018,N,102.39667319244471
ALA,2018,P2O5,19.786533363530392
ALA,2019,K2O,42.42573331211471
ALA,2019,N,102.39667319244471
ALA,2019,P2O5,19.786533363530392
AND,2010,K2O,0
AND,2010,N,0
AND,2010,P2O5,0
AND,2011,K2O,0
AND,2011,N,0
AND,2011,P2O5,0
AND,2012,K2O,0
AND,2012,N,0
AND,2012,P2O5,0
AND,2013,K2O,0
AND,2013,N,0
AND,2013,P2O5,0
AND,2014,K2O,0
AND,2014,N,0
AND,2014,P2O5,0
AND,2015,K2O,0
AND,2015,N,0
AND,2015,P2O5,0
AND,2016,K2O,0
AND,2016,N,0
AND,2016,P2O5,0
AND,2017,K2O,0
AND,2017,N,0
AND,2017,P2O5,0
AND,2018,K2O,0
AND,2018,N,0
AND,2018,P2O5,0
AND,2019,K2O,0
AND,2019,N,0
AND,2019,P2O5,0
ASM,2010,K2O,0
ASM,2010,N,0
ASM,2010,P2O5,0
ASM,2011,K2O,0
ASM,2011,N,0
ASM,2011,P2O5,0
ASM,2012,K2O,0
ASM,2012,N,0
ASM,2012,P2O5,0
ASM,2013,K2O,0
ASM,2013,N,0
ASM,2013,P2O5,0
ASM,2014,K2O,0
ASM,2014,N,0
ASM,2014,P2O5,0
ASM,2015,K2O,0
ASM,2015,N,0
ASM,2015,P2O5,0
ASM,2016,K2O,0
ASM,2016,N,0
ASM,2016,P2O5,0
ASM,2017,K2O,0
ASM,2017,N,0
ASM,2017,P2O5,0
ASM,2018,K2O,0
ASM,2018,N,0
ASM,2018,P2O5,0
ASM,2019,K2O,0
ASM,2019,N,0
ASM,2019,P2O5,0
BES,2010,K2O,0
BES,2010,N,0
BES,2010,P2O5,0
BES,2011,K2O,0
BES,2011,N,0
BES,2011,P2O5,0
BES,2012,K2O,0
BES,2012,N,0
BES,2012,P2O5,0
BES,2013,K2O,0
BES,2013,N,0
BES,2013,P2O5,0
BES,2014,K2O,0
BES,2014,N,0
BES,2014,P2O5,0
BES,2015,K2O,0
BES,2015,N,0
BES,2015,P2O5,0
BES,2016,K2O,0
BES,2016,N,0
BES,2016,P2O5,0
BES,2017,K2O,0
BES,2017,N,0
BES,2017,P2O5,0
BES,2018,K2O,0
BES,2018,N,0
BES,2018,P2O5,0
BES,2019,K2O,0
BES,2019,N,0
BES,2019,P2O5,0
BLM,2010,K2O,0
BLM,2010,N,0
BLM,2010,P2O5,0
BLM,2011,K2O,0
BLM,2011,N,0
BLM,2011,P2O5,0
BLM,2012,K2O,0
BLM,2012,N,0
BLM,2012,P2O5,0
BLM,2013,K2O,0
BLM,2013,N,0
BLM,2013,P2O5,0
BLM,2014,K2O,0
BLM,2014,N,0
BLM,2014,P2O5,0
BLM,2015,K2O,0
BLM,2015,N,0
BLM,2015,P2O5,0
BLM,2016,K2O,0
BLM,2016,N,0
BLM,2016,P2O5,0
BLM,2017,K2O,0
BLM,2017,N,0
BLM,2017,P2O5,0
BLM,2018,K2O,0
BLM,2018,N,0
BLM,2018,P2O5,0
BLM,2019,K2O,0
BLM,2019,N,0
BLM,2019,P2O5,0
CCK,2010,K2O,0
CCK,2010,N,0
CCK,2010,P2O5,0
CCK,2011,K2O,0
CCK,2011,N,0
CCK,2011,P2O5,0
CCK,2012,K2O,0
CCK,2012,N,0
CCK,2012,P2O5,0
CCK,2013,K2O,0
CCK,2013,N,0
CCK,2013,P2O5,0
CCK,2014,K2O,0
CCK,2014,N,0
CCK,2014,P2O5,0
CCK,2015,K2O,0
CCK,2015,N,0
CCK,2015,P2O5,0
CCK,2016,K2O,0
CCK,2016,N,0
CCK,2016,P2O5,0
CCK,2017,K2O,0
CCK,2017,N,0
CCK,2017,P2O5,0
CCK,2018,K2O,0
CCK,2018,N,0
CCK,2018,P2O5,0
CCK,2019,K2O,0
CCK,2019,N,0
CCK,2019,P2O5,0
COM,2010,K2O,0
COM,2010,N,0
COM,2010,P2O5,0
COM,2011,K2O,0
COM,2011,N,0
COM,2011,P2O5,0
COM,2012,K2O,0
COM,2012,N,0
COM,2012,P2O5,0
COM,2013,K2O,0
COM,2013,N,0
COM,2013,P2O5,0
COM,2014,K2O,0
COM,2014,N,0
COM,2014,P2O5,0
COM,2015,K2O,0
COM,2015,N,0
COM,2015,P2O5,0
COM,2016,K2O,0
COM,2016,N,0
COM,2016,P2O5,0
COM,2017,K2O,0
COM,2017,N,0
COM,2017,P2O5,0
COM,2018,K2O,0
COM,2018,N,0
COM,2018,P2O5,0
COM,2019,K2O,0
COM,2019,N,0
COM,2019,P2O5,0
CPV,2010,K2O,0
CPV,2010,N,0
CPV,2010,P2O5,0
CPV,2011,K2O,0
CPV,2011,N,0
CPV,2011,P2O5,0
CPV,2012,K2O,0
CPV,2012,N,0
CPV,2012,P2O5,0
CPV,2013,K2O,0
CPV,2013,N,0
CPV,2013,P2O5,0
CPV,2014,K2O,0
CPV,2014,N,0
CPV,2014,P2O5,0
CPV,2015,K2O,0
CPV,2015,N,0
CPV,2015,P2O5,0
CPV,2016,K2O,0
CPV,2016,N,0
CPV,2016,P2O5,0
CPV,2017,K2O,0
CPV,2017,N,0
CPV,2017,P2O5,0
CPV,2018,K2O,0
CPV,2018,N,0
CPV,2018,P2O5,0
CPV,2019,K2O,0
CPV,2019,N,0
CPV,2019,P2O5,0
CUW,2010,K2O,0
CUW,2010,N,0
CUW,2010,P2O5,0
CUW,2011,K2O,0
CUW,2011,N,0
CUW,2011,P2O5,0
CUW,2012,K2O,0
CUW,2012,N,0
CUW,2012,P2O5,0
CUW,2013,K2O,0
CUW,2013,N,0
CUW,2013,P2O5,0
CUW,2014,K2O,0
CUW,2014,N,0
CUW,2014,P2O5,0
CUW,2015,K2O,0
CUW,2015,N,0
CUW,2015,P2O5,0
CUW,2016,K2O,0
