"rgn_id","product","year","tonnes","usd"
5,"ornamentals",1984,23,23
5,"ornamentals",1985,11.5,11.5
5,"ornamentals",1986,22.6666666666667,22.6666666666667
5,"ornamentals",1987,32.5,32.5
5,"ornamentals",1988,26.75,26.75
5,"ornamentals",1989,26.75,26.75
5,"ornamentals",1990,15.5,15.5
5,"ornamentals",1991,0,0
5,"ornamentals",1992,0,0
5,"ornamentals",1993,0,0
5,"ornamentals",1994,0,0
5,"ornamentals",1995,0,0
5,"ornamentals",1996,0,0
5,"ornamentals",1997,32.75,32.75
5,"ornamentals",1998,60.5,60.5
5,"ornamentals",1999,65.5,65.5
5,"ornamentals",2000,89.5,89.5
5,"ornamentals",2001,84.75,84.75
5,"ornamentals",2002,78.75,78.75
5,"ornamentals",2003,100,100
5,"ornamentals",2004,106,106
5,"ornamentals",2005,104.5,104.5
5,"ornamentals",2006,108,108
5,"ornamentals",2007,110,110
5,"ornamentals",2008,115.25,115.25
5,"ornamentals",2009,121.75,121.75
5,"ornamentals",2010,142,142
5,"ornamentals",2011,144.75,144.75
5,"ornamentals",2012,184.25,184.25
5,"ornamentals",2013,238.25,238.25
5,"ornamentals",2014,284.5,284.5
5,"ornamentals",2015,348,348
5,"ornamentals",2016,346.75,346.75
5,"ornamentals",2017,308.25,308.25
5,"ornamentals",2018,270.75,270.75
5,"ornamentals",2019,218.765,218.765
6,"ornamentals",2003,366,366
6,"ornamentals",2004,420.5,420.5
6,"ornamentals",2005,501,501
6,"ornamentals",2006,375.75,375.75
6,"ornamentals",2007,284.25,284.25
6,"ornamentals",2008,165.5,165.5
6,"ornamentals",2009,0,0
6,"ornamentals",2010,0,0
6,"ornamentals",2011,0,0
6,"ornamentals",2012,34.25,34.25
6,"ornamentals",2013,86.25,86.25
6,"ornamentals",2014,206.25,206.25
6,"ornamentals",2015,255.75,255.75
6,"ornamentals",2016,247.75,247.75
6,"ornamentals",2017,243,243
6,"ornamentals",2018,125.5,125.5
6,"ornamentals",2019,78.5,78.5
7,"ornamentals",1996,50,50
7,"ornamentals",1997,36,36
7,"ornamentals",1998,36,36
7,"ornamentals",1999,39.25,39.25
7,"ornamentals",2000,27.5,27.5
7,"ornamentals",2001,70.5,70.5
7,"ornamentals",2002,72.25,72.25
7,"ornamentals",2003,73.75,73.75
7,"ornamentals",2004,89.5,89.5
7,"ornamentals",2005,59.25,59.25
7,"ornamentals",2006,72.5,72.5
7,"ornamentals",2007,85.25,85.25
7,"ornamentals",2008,85.75,85.75
7,"ornamentals",2009,76,76
7,"ornamentals",2010,61,61
7,"ornamentals",2011,34.5,34.5
7,"ornamentals",2012,17.5,17.5
7,"ornamentals",2013,9,9
7,"ornamentals",2014,0,0
7,"ornamentals",2015,0,0
7,"ornamentals",2016,0,0
7,"ornamentals",2017,0,0
7,"ornamentals",2018,0,0
7,"ornamentals",2019,0,0
7,"seaweeds",2004,148,148
7,"seaweeds",2005,215,215
7,"seaweeds",2006,178.666666666667,178.666666666667
7,"seaweeds",2007,157.5,157.5
7,"seaweeds",2008,135.5,135.5
7,"seaweeds",2009,107.5,107.5
7,"seaweeds",2010,221,221
7,"seaweeds",2011,226.5,226.5
7,"seaweeds",2012,458.75,458.75
7,"seaweeds",2013,855.25,855.25
7,"seaweeds",2014,1045.5,1045.5
7,"seaweeds",2015,1267,1267
7,"seaweeds",2016,1147.75,1147.75
7,"seaweeds",2017,803.5,803.5
7,"seaweeds",2018,547.75,547.75
