"year","quantDensity"
2012,37.850586991838
2013,90.296234675121
2014,121.287598336028
2015,143.367419254339
2016,154.01048892841
2017,189.233551346488
2018,214.001924674365
2019,204.398229216589
2020,225.323142543172
